SliceNum	CellCt,WatershedWS	CellCt,FindMaximaFM	MarrowArea(um2)	MarrowCellDensity,WS(mm-2)	MarrowCellDensity,FM(mm-2)	CavityArea(um2)	CavityCellDensity,WS(mm-2)	CavityCellDensity,FM(mm-2)	BoneArea(um2)	VesselArea(um2)	BCMaskArea(um2)	ImgMaskArea(um2)	TotalCellArea,WS(um2)	MeanCellArea,WS(um2)	StdevCellArea,WS(um2)	MeanCellDiameter,WS(um)	StdevCellDiameter,WS(um)	TotalCellArea,FM(um2)	MeanCellArea,FM(um2)	StdevCellArea,FM(um2)	MeanCellDiameter,FM(um)	StdevCellDiameter,FM(um)	
1	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	27.71	0	0	27.71	0	0	1641.8	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	41.391	0	0	41.391	0	0	1628.1	0	0	0	0	0	0	0	0	0	0	0	0	0
12	7	0	169.39	41325	0	169.39	41325	0	1500.2	0	0	0	107.48	15.354	13.318	4.0283	1.9686	0	0	0	0	0
13	8	0	253.91	31507	0	253.91	31507	0	1415.6	0	0	0	169.62	21.203	20.55	4.714	2.3359	0	0	0	0	0
14	18	0	454.37	39615	0	454.37	39615	0	1215.2	0	0	0	337.62	18.757	13.481	4.5788	1.7572	0	0	0	0	0
15	23	0	685.67	33544	0	685.67	33544	0	983.87	0	0	0	531.82	23.123	13.69	5.1949	1.6017	0	0	0	0	0
16	43	0	1139.5	37737	0	1139.5	37737	0	530.08	0	0	0	913.84	21.252	14.735	4.8515	1.8989	0	0	0	0	0
17	52	0	1485.1	35015	0	1485.1	35015	0	184.46	0	0	0	1220.6	23.473	13.799	5.2151	1.6561	0	0	0	0	0
18	55	0	1594.8	34488	0	1594.8	34488	0	74.781	0	0	0	1370.8	24.923	12.957	5.4348	1.4955	0	0	0	0	0
19	60	0	1610.4	37258	0	1610.4	37258	0	59.13	0	0	0	1389.4	23.157	14.712	5.1574	1.713	0	0	0	0	0
20	62	0	1639.7	37811	0	1639.7	37811	0	29.797	0	0	0	1404.2	22.648	11.852	5.2002	1.3504	0	0	0	0	0
21	60	0	1662	36101	0	1662	36101	0	7.5361	0	0	0	1436.5	23.942	13.558	5.3054	1.5413	0	0	0	0	0
22	60	0	1638.7	36614	0	1668.4	35963	0	1.1594	29.681	0	0	1406.9	23.449	13.495	5.2381	1.5681	0	0	0	0	0
23	57	0	1630.8	34952	0	1669.5	34141	0	0	38.724	0	0	1374.4	24.112	13.36	5.3164	1.5744	0	0	0	0	0
24	64	0	1622	39457	0	1669.5	38334	0	0	47.536	0	0	1385.6	21.65	10.456	5.0986	1.2629	0	0	0	0	0
25	60	0	1610.2	37263	0	1669.5	35938	0	0	59.361	0	0	1379.5	22.991	15.165	5.1728	1.5992	0	0	0	0	0
26	58	0	1577	36778	0	1669.5	34740	0	0	92.52	0	0	1301.8	22.444	13.19	5.1329	1.5064	0	0	0	0	0
27	49	0	1545	31715	0	1669.5	29349	0	0	124.52	0	0	1245	25.407	16.028	5.4622	1.6022	0	0	0	0	0
28	54	0	1523.2	35451	0	1669.5	32344	0	0	146.32	0	0	1178.1	21.816	14.628	5.0454	1.5378	0	0	0	0	0
29	45	0	1513.4	29735	0	1669.5	26954	0	0	156.17	0	0	1185.8	26.352	17.033	5.5734	1.5958	0	0	0	0	0
30	46	0	1516	30342	0	1669.5	27553	0	0	153.5	0	0	1245.1	27.067	19.855	5.5784	1.8489	0	0	0	0	0
