SliceNum	CellCt,WatershedWS	CellCt,FindMaximaFM	MarrowArea(px2)	MarrowCellDensity,WS(px-2)	MarrowCellDensity,FM(px-2)	CavityArea(px2)	CavityCellDensity,WS(px-2)	CavityCellDensity,FM(px-2)	BoneArea(px2)	VesselArea(px2)	BCMaskArea(px2)	ImgMaskArea(px2)	TotalCellArea,WS(px2)	MeanCellArea,WS(px2)	StdevCellArea,WS(px2)	MeanCellDiameter,WS(px)	StdevCellDiameter,WS(px)	TotalCellArea,FM(px2)	MeanCellArea,FM(px2)	StdevCellArea,FM(px2)	MeanCellDiameter,FM(px)	StdevCellDiameter,FM(px)	
1	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	239	0	0	239	0	0	14161	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	357	0	0	357	0	0	14043	0	0	0	0	0	0	0	0	0	0	0	0	0
12	7	0	1461	0.0047912	0	1461	0.0047912	0	12939	0	0	0	927	132.43	114.87	11.831	5.7815	0	0	0	0	0
13	8	0	2190	0.003653	0	2190	0.003653	0	12210	0	0	0	1463	182.88	177.25	13.844	6.8602	0	0	0	0	0
14	18	0	3919	0.004593	0	3919	0.004593	0	10481	0	0	0	2912	161.78	116.27	13.447	5.1606	0	0	0	0	0
15	23	0	5914	0.0038891	0	5914	0.0038891	0	8486	0	0	0	4587	199.43	118.08	15.257	4.7039	0	0	0	0	0
16	43	0	9828	0.0043753	0	9828	0.0043753	0	4572	0	0	0	7882	183.3	127.09	14.248	5.5769	0	0	0	0	0
17	52	0	12809	0.0040596	0	12809	0.0040596	0	1591	0	0	0	10528	202.46	119.02	15.316	4.8637	0	0	0	0	0
18	55	0	13755	0.0039985	0	13755	0.0039985	0	645	0	0	0	11823	214.96	111.76	15.961	4.3922	0	0	0	0	0
19	60	0	13890	0.0043197	0	13890	0.0043197	0	510	0	0	0	11984	199.73	126.89	15.147	5.0308	0	0	0	0	0
20	62	0	14143	0.0043838	0	14143	0.0043838	0	257	0	0	0	12111	195.34	102.23	15.272	3.9658	0	0	0	0	0
21	60	0	14335	0.0041856	0	14335	0.0041856	0	65	0	0	0	12390	206.5	116.94	15.581	4.5265	0	0	0	0	0
22	60	0	14134	0.0042451	0	14390	0.0041696	0	10	256	0	0	12135	202.25	116.4	15.384	4.6054	0	0	0	0	0
23	57	0	14066	0.0040523	0	14400	0.0039583	0	0	334	0	0	11854	207.96	115.23	15.614	4.6238	0	0	0	0	0
24	64	0	13990	0.0045747	0	14400	0.0044444	0	0	410	0	0	11951	186.73	90.181	14.974	3.7091	0	0	0	0	0
25	60	0	13888	0.0043203	0	14400	0.0041667	0	0	512	0	0	11898	198.3	130.8	15.192	4.6966	0	0	0	0	0
26	58	0	13602	0.0042641	0	14400	0.0040278	0	0	798	0	0	11228	193.59	113.77	15.075	4.4241	0	0	0	0	0
27	49	0	13326	0.003677	0	14400	0.0034028	0	0	1074	0	0	10738	219.14	138.24	16.042	4.7055	0	0	0	0	0
28	54	0	13138	0.0041102	0	14400	0.00375	0	0	1262	0	0	10161	188.17	126.17	14.818	4.5164	0	0	0	0	0
29	45	0	13053	0.0034475	0	14400	0.003125	0	0	1347	0	0	10228	227.29	146.92	16.368	4.6867	0	0	0	0	0
30	46	0	13076	0.0035179	0	14400	0.0031944	0	0	1324	0	0	10739	233.46	171.25	16.383	5.43	0	0	0	0	0
